dataset_id,data,loja,produto,quantidade_prevista
VAREJO_05,2027-01-05,LOJA_01,PROD_05,29.78
VAREJO_05,2027-01-05,LOJA_01,PROD_06,37.61
VAREJO_05,2027-01-05,LOJA_01,PROD_07,40.79
VAREJO_05,2027-01-05,LOJA_01,PROD_08,35.3
VAREJO_05,2027-01-05,LOJA_01,PROD_09,38.44
VAREJO_05,2027-01-05,LOJA_01,PROD_10,39.09
VAREJO_05,2027-01-05,LOJA_02,PROD_01,42.86
VAREJO_05,2027-01-05,LOJA_02,PROD_02,48.64
VAREJO_05,2027-01-05,LOJA_02,PROD_03,31.3
VAREJO_05,2027-01-05,LOJA_02,PROD_04,43.58
VAREJO_05,2027-01-05,LOJA_02,PROD_05,35.56
VAREJO_05,2027-01-05,LOJA_02,PROD_06,43.7
VAREJO_05,2027-01-05,LOJA_02,PROD_07,31.43
VAREJO_05,2027-01-05,LOJA_02,PROD_08,38.57
VAREJO_05,2027-01-05,LOJA_02,PROD_09,41.55
VAREJO_05,2027-01-05,LOJA_02,PROD_10,55.9
VAREJO_05,2027-01-05,LOJA_03,PROD_01,48.17
VAREJO_05,2027-01-05,LOJA_03,PROD_02,65.62
VAREJO_05,2027-01-05,LOJA_03,PROD_03,53.49
VAREJO_05,2027-01-05,LOJA_03,PROD_04,46.49
VAREJO_05,2027-01-05,LOJA_03,PROD_05,41.8
VAREJO_05,2027-01-05,LOJA_03,PROD_06,60.28
VAREJO_05,2027-01-05,LOJA_03,PROD_07,37.29
VAREJO_05,2027-01-05,LOJA_03,PROD_08,45.19
VAREJO_05,2027-01-05,LOJA_03,PROD_09,43.68
VAREJO_05,2027-01-05,LOJA_03,PROD_10,50.76
VAREJO_05,2027-01-05,LOJA_04,PROD_01,52.85
VAREJO_05,2027-01-05,LOJA_04,PROD_02,75.23
VAREJO_05,2027-01-05,LOJA_04,PROD_03,54.07
VAREJO_05,2027-01-05,LOJA_04,PROD_04,66.57
VAREJO_05,2027-01-05,LOJA_04,PROD_05,60.63
VAREJO_05,2027-01-05,LOJA_04,PROD_06,52.78
VAREJO_05,2027-01-05,LOJA_04,PROD_07,44.33
VAREJO_05,2027-01-05,LOJA_04,PROD_08,50.95
VAREJO_05,2027-01-05,LOJA_04,PROD_09,59.92
VAREJO_05,2027-01-05,LOJA_04,PROD_10,55.15
VAREJO_05,2027-01-06,LOJA_01,PROD_01,50.68
VAREJO_05,2027-01-06,LOJA_01,PROD_02,56.38
VAREJO_05,2027-01-06,LOJA_01,PROD_03,29.04
VAREJO_05,2027-01-06,LOJA_01,PROD_04,36.84
VAREJO_05,2027-01-06,LOJA_01,PROD_05,32.29
VAREJO_05,2027-01-06,LOJA_01,PROD_06,36.91
VAREJO_05,2027-01-06,LOJA_01,PROD_07,41.15
VAREJO_05,2027-01-06,LOJA_01,PROD_08,35.47
VAREJO_05,2027-01-06,LOJA_01,PROD_09,38.2
VAREJO_05,2027-01-06,LOJA_01,PROD_10,51.4
VAREJO_05,2027-01-06,LOJA_02,PROD_01,43.06
VAREJO_05,2027-01-06,LOJA_02,PROD_02,62.36
VAREJO_05,2027-01-06,LOJA_02,PROD_03,31.69
VAREJO_05,2027-01-06,LOJA_02,PROD_04,42.77
VAREJO_05,2027-01-06,LOJA_02,PROD_05,35.95
VAREJO_05,2027-01-06,LOJA_02,PROD_06,43.31
VAREJO_05,2027-01-06,LOJA_02,PROD_07,31.8
VAREJO_05,2027-01-06,LOJA_02,PROD_08,38.04
VAREJO_05,2027-01-06,LOJA_02,PROD_09,42.14
VAREJO_05,2027-01-06,LOJA_02,PROD_10,43.43
VAREJO_05,2027-01-06,LOJA_03,PROD_01,60.5
VAREJO_05,2027-01-06,LOJA_03,PROD_02,50.54
VAREJO_05,2027-01-06,LOJA_03,PROD_03,37.12
VAREJO_05,2027-01-06,LOJA_03,PROD_04,57.45
VAREJO_05,2027-01-06,LOJA_03,PROD_05,53.81
VAREJO_05,2027-01-06,LOJA_03,PROD_06,46.59
VAREJO_05,2027-01-06,LOJA_03,PROD_07,38.01
VAREJO_05,2027-01-06,LOJA_03,PROD_08,45.13
VAREJO_05,2027-01-06,LOJA_03,PROD_09,43.42
VAREJO_05,2027-01-06,LOJA_03,PROD_10,65.15
VAREJO_05,2027-01-06,LOJA_04,PROD_01,51.59
VAREJO_05,2027-01-06,LOJA_04,PROD_02,59.89
VAREJO_05,2027-01-06,LOJA_04,PROD_03,44.15
VAREJO_05,2027-01-06,LOJA_04,PROD_04,52.59
VAREJO_05,2027-01-06,LOJA_04,PROD_05,45.76
VAREJO_05,2027-01-06,LOJA_04,PROD_06,51.07
VAREJO_05,2027-01-06,LOJA_04,PROD_07,43.56
VAREJO_05,2027-01-06,LOJA_04,PROD_08,50.98
VAREJO_05,2027-01-06,LOJA_04,PROD_09,47.05
VAREJO_05,2027-01-06,LOJA_04,PROD_10,53.18
VAREJO_05,2027-01-07,LOJA_01,PROD_01,35.65
VAREJO_05,2027-01-07,LOJA_01,PROD_02,39.03
VAREJO_05,2027-01-07,LOJA_01,PROD_03,27.71
VAREJO_05,2027-01-07,LOJA_01,PROD_04,36.36
VAREJO_05,2027-01-07,LOJA_01,PROD_05,33.31
VAREJO_05,2027-01-07,LOJA_01,PROD_06,37.33
VAREJO_05,2027-01-07,LOJA_01,PROD_07,27.52
VAREJO_05,2027-01-07,LOJA_01,PROD_08,35.75
VAREJO_05,2027-01-07,LOJA_01,PROD_09,38.43
VAREJO_05,2027-01-07,LOJA_01,PROD_10,52.98
VAREJO_05,2027-01-07,LOJA_02,PROD_01,42.95
VAREJO_05,2027-01-07,LOJA_02,PROD_02,48.26
VAREJO_05,2027-01-07,LOJA_02,PROD_03,31.31
VAREJO_05,2027-01-07,LOJA_02,PROD_04,42.93
VAREJO_05,2027-01-07,LOJA_02,PROD_05,34.95
VAREJO_05,2027-01-07,LOJA_02,PROD_06,43.78
VAREJO_05,2027-01-07,LOJA_02,PROD_07,30.34
VAREJO_05,2027-01-07,LOJA_02,PROD_08,38.38
VAREJO_05,2027-01-07,LOJA_02,PROD_09,54.32
VAREJO_05,2027-01-07,LOJA_02,PROD_10,43.38
VAREJO_05,2027-01-07,LOJA_03,PROD_01,48.12
VAREJO_05,2027-01-07,LOJA_03,PROD_02,65.73
VAREJO_05,2027-01-07,LOJA_03,PROD_03,48.91
VAREJO_05,2027-01-07,LOJA_03,PROD_04,57.0
VAREJO_05,2027-01-07,LOJA_03,PROD_05,40.62
VAREJO_05,2027-01-07,LOJA_03,PROD_06,46.89
VAREJO_05,2027-01-07,LOJA_03,PROD_07,37.36
VAREJO_05,2027-01-07,LOJA_03,PROD_08,44.59
VAREJO_05,2027-01-07,LOJA_03,PROD_09,43.37
VAREJO_05,2027-01-07,LOJA_03,PROD_10,50.85
VAREJO_05,2027-01-07,LOJA_04,PROD_01,67.37
VAREJO_05,2027-01-07,LOJA_04,PROD_02,56.98
VAREJO_05,2027-01-07,LOJA_04,PROD_03,43.97
VAREJO_05,2027-01-07,LOJA_04,PROD_04,52.88
VAREJO_05,2027-01-07,LOJA_04,PROD_05,46.25
VAREJO_05,2027-01-07,LOJA_04,PROD_06,67.72
VAREJO_05,2027-01-07,LOJA_04,PROD_07,56.43
VAREJO_05,2027-01-07,LOJA_04,PROD_08,50.23
VAREJO_05,2027-01-07,LOJA_04,PROD_09,46.75
VAREJO_05,2027-01-07,LOJA_04,PROD_10,53.62
VAREJO_05,2027-01-08,LOJA_01,PROD_01,35.77
VAREJO_05,2027-01-08,LOJA_01,PROD_02,41.76
VAREJO_05,2027-01-08,LOJA_01,PROD_03,27.91
VAREJO_05,2027-01-08,LOJA_01,PROD_04,35.8
VAREJO_05,2027-01-08,LOJA_01,PROD_05,31.78
VAREJO_05,2027-01-08,LOJA_01,PROD_06,37.4
VAREJO_05,2027-01-08,LOJA_01,PROD_07,27.27
VAREJO_05,2027-01-08,LOJA_01,PROD_08,35.81
VAREJO_05,2027-01-08,LOJA_01,PROD_09,38.94
VAREJO_05,2027-01-08,LOJA_01,PROD_10,52.35
VAREJO_05,2027-01-08,LOJA_02,PROD_01,57.63
VAREJO_05,2027-01-08,LOJA_02,PROD_02,48.3
VAREJO_05,2027-01-08,LOJA_02,PROD_03,30.96
VAREJO_05,2027-01-08,LOJA_02,PROD_04,42.82
VAREJO_05,2027-01-08,LOJA_02,PROD_05,36.1
VAREJO_05,2027-01-08,LOJA_02,PROD_06,43.28
VAREJO_05,2027-01-08,LOJA_02,PROD_07,30.41
VAREJO_05,2027-01-08,LOJA_02,PROD_08,38.56
VAREJO_05,2027-01-08,LOJA_02,PROD_09,40.77
VAREJO_05,2027-01-08,LOJA_02,PROD_10,43.33
VAREJO_05,2027-01-08,LOJA_03,PROD_01,47.82
VAREJO_05,2027-01-08,LOJA_03,PROD_02,66.28
VAREJO_05,2027-01-08,LOJA_03,PROD_03,36.7
VAREJO_05,2027-01-08,LOJA_03,PROD_04,46.62
VAREJO_05,2027-01-08,LOJA_03,PROD_05,41.31
VAREJO_05,2027-01-08,LOJA_03,PROD_06,46.4
VAREJO_05,2027-01-08,LOJA_03,PROD_07,37.66
VAREJO_05,2027-01-08,LOJA_03,PROD_08,44.51
VAREJO_05,2027-01-08,LOJA_03,PROD_09,43.06
VAREJO_05,2027-01-08,LOJA_03,PROD_10,50.76
VAREJO_05,2027-01-08,LOJA_04,PROD_01,53.12
VAREJO_05,2027-01-08,LOJA_04,PROD_02,57.7
VAREJO_05,2027-01-08,LOJA_04,PROD_03,44.04
VAREJO_05,2027-01-08,LOJA_04,PROD_04,52.85
VAREJO_05,2027-01-08,LOJA_04,PROD_05,45.96
VAREJO_05,2027-01-08,LOJA_04,PROD_06,69.6
VAREJO_05,2027-01-08,LOJA_04,PROD_07,55.61
VAREJO_05,2027-01-08,LOJA_04,PROD_08,63.37
VAREJO_05,2027-01-08,LOJA_04,PROD_09,46.8
VAREJO_05,2027-01-08,LOJA_04,PROD_10,52.48
VAREJO_05,2027-01-09,LOJA_01,PROD_01,53.21
VAREJO_05,2027-01-09,LOJA_01,PROD_02,46.32
VAREJO_05,2027-01-09,LOJA_01,PROD_03,45.62
VAREJO_05,2027-01-09,LOJA_01,PROD_04,41.62
VAREJO_05,2027-01-09,LOJA_01,PROD_05,35.85
VAREJO_05,2027-01-09,LOJA_01,PROD_06,41.99
VAREJO_05,2027-01-09,LOJA_01,PROD_07,29.64
VAREJO_05,2027-01-09,LOJA_01,PROD_08,41.69
VAREJO_05,2027-01-09,LOJA_01,PROD_09,42.4
VAREJO_05,2027-01-09,LOJA_01,PROD_10,57.67
VAREJO_05,2027-01-09,LOJA_02,PROD_01,45.97
VAREJO_05,2027-01-09,LOJA_02,PROD_02,52.25
VAREJO_05,2027-01-09,LOJA_02,PROD_03,49.77
VAREJO_05,2027-01-09,LOJA_02,PROD_04,45.69
VAREJO_05,2027-01-09,LOJA_02,PROD_05,40.57
VAREJO_05,2027-01-09,LOJA_02,PROD_06,50.56
VAREJO_05,2027-01-09,LOJA_02,PROD_07,36.55
VAREJO_05,2027-01-09,LOJA_02,PROD_08,42.42
VAREJO_05,2027-01-09,LOJA_02,PROD_09,59.65
VAREJO_05,2027-01-09,LOJA_02,PROD_10,50.17
VAREJO_05,2027-01-09,LOJA_03,PROD_01,52.35
VAREJO_05,2027-01-09,LOJA_03,PROD_02,57.05
VAREJO_05,2027-01-09,LOJA_03,PROD_03,43.32
VAREJO_05,2027-01-09,LOJA_03,PROD_04,49.69
VAREJO_05,2027-01-09,LOJA_03,PROD_05,47.35
VAREJO_05,2027-01-09,LOJA_03,PROD_06,65.03
VAREJO_05,2027-01-09,LOJA_03,PROD_07,43.4
VAREJO_05,2027-01-09,LOJA_03,PROD_08,49.42
VAREJO_05,2027-01-09,LOJA_03,PROD_09,48.26
VAREJO_05,2027-01-09,LOJA_03,PROD_10,56.79
VAREJO_05,2027-01-09,LOJA_04,PROD_01,60.71
VAREJO_05,2027-01-09,LOJA_04,PROD_02,63.99
VAREJO_05,2027-01-09,LOJA_04,PROD_03,44.42
VAREJO_05,2027-01-09,LOJA_04,PROD_04,58.29
VAREJO_05,2027-01-09,LOJA_04,PROD_05,48.95
VAREJO_05,2027-01-09,LOJA_04,PROD_06,71.78
VAREJO_05,2027-01-09,LOJA_04,PROD_07,46.05
VAREJO_05,2027-01-09,LOJA_04,PROD_08,69.39
VAREJO_05,2027-01-09,LOJA_04,PROD_09,52.96
VAREJO_05,2027-01-09,LOJA_04,PROD_10,58.84
VAREJO_05,2027-01-10,LOJA_01,PROD_01,40.76
VAREJO_05,2027-01-10,LOJA_01,PROD_02,45.35
VAREJO_05,2027-01-10,LOJA_01,PROD_03,32.34
VAREJO_05,2027-01-10,LOJA_01,PROD_04,52.48
VAREJO_05,2027-01-10,LOJA_01,PROD_05,35.8
VAREJO_05,2027-01-10,LOJA_01,PROD_06,41.96
VAREJO_05,2027-01-10,LOJA_01,PROD_07,43.35
VAREJO_05,2027-01-10,LOJA_01,PROD_08,41.03
VAREJO_05,2027-01-10,LOJA_01,PROD_09,40.53
VAREJO_05,2027-01-10,LOJA_01,PROD_10,43.7
VAREJO_05,2027-01-10,LOJA_02,PROD_01,61.13
VAREJO_05,2027-01-10,LOJA_02,PROD_02,64.51
VAREJO_05,2027-01-10,LOJA_02,PROD_03,37.7
VAREJO_05,2027-01-10,LOJA_02,PROD_04,44.62
VAREJO_05,2027-01-10,LOJA_02,PROD_05,41.53
VAREJO_05,2027-01-10,LOJA_02,PROD_06,50.67
VAREJO_05,2027-01-10,LOJA_02,PROD_07,47.03
VAREJO_05,2027-01-10,LOJA_02,PROD_08,58.54
VAREJO_05,2027-01-10,LOJA_02,PROD_09,59.65
VAREJO_05,2027-01-10,LOJA_02,PROD_10,48.42
VAREJO_05,2027-01-10,LOJA_03,PROD_01,52.8
VAREJO_05,2027-01-10,LOJA_03,PROD_02,56.72
VAREJO_05,2027-01-10,LOJA_03,PROD_03,52.4
VAREJO_05,2027-01-10,LOJA_03,PROD_04,48.85
VAREJO_05,2027-01-10,LOJA_03,PROD_05,47.67
VAREJO_05,2027-01-10,LOJA_03,PROD_06,65.19
VAREJO_05,2027-01-10,LOJA_03,PROD_07,43.47
VAREJO_05,2027-01-10,LOJA_03,PROD_08,49.02
VAREJO_05,2027-01-10,LOJA_03,PROD_09,64.18
VAREJO_05,2027-01-10,LOJA_03,PROD_10,56.97
VAREJO_05,2027-01-10,LOJA_04,PROD_01,60.17
VAREJO_05,2027-01-10,LOJA_04,PROD_02,62.3
VAREJO_05,2027-01-10,LOJA_04,PROD_03,45.93
VAREJO_05,2027-01-10,LOJA_04,PROD_04,59.29
VAREJO_05,2027-01-10,LOJA_04,PROD_05,48.2
VAREJO_05,2027-01-10,LOJA_04,PROD_06,71.58
VAREJO_05,2027-01-10,LOJA_04,PROD_07,44.84
VAREJO_05,2027-01-10,LOJA_04,PROD_08,55.51
VAREJO_05,2027-01-10,LOJA_04,PROD_09,52.29
VAREJO_05,2027-01-10,LOJA_04,PROD_10,59.93
VAREJO_05,2027-01-11,LOJA_01,PROD_01,36.85
VAREJO_05,2027-01-11,LOJA_01,PROD_02,56.25
VAREJO_05,2027-01-11,LOJA_01,PROD_03,28.56
VAREJO_05,2027-01-11,LOJA_01,PROD_04,35.7
VAREJO_05,2027-01-11,LOJA_01,PROD_05,44.46
VAREJO_05,2027-01-11,LOJA_01,PROD_06,36.98
VAREJO_05,2027-01-11,LOJA_01,PROD_07,41.03
VAREJO_05,2027-01-11,LOJA_01,PROD_08,35.32
VAREJO_05,2027-01-11,LOJA_01,PROD_09,38.22
VAREJO_05,2027-01-11,LOJA_01,PROD_10,38.64
VAREJO_05,2027-01-11,LOJA_02,PROD_01,43.39
VAREJO_05,2027-01-11,LOJA_02,PROD_02,48.22
VAREJO_05,2027-01-11,LOJA_02,PROD_03,44.66
VAREJO_05,2027-01-11,LOJA_02,PROD_04,42.82
VAREJO_05,2027-01-11,LOJA_02,PROD_05,35.22
VAREJO_05,2027-01-11,LOJA_02,PROD_06,43.66
VAREJO_05,2027-01-11,LOJA_02,PROD_07,31.91
VAREJO_05,2027-01-11,LOJA_02,PROD_08,38.84
VAREJO_05,2027-01-11,LOJA_02,PROD_09,41.97
VAREJO_05,2027-01-11,LOJA_02,PROD_10,43.61
VAREJO_05,2027-01-11,LOJA_03,PROD_01,48.22
VAREJO_05,2027-01-11,LOJA_03,PROD_02,50.59
VAREJO_05,2027-01-11,LOJA_03,PROD_03,53.65
VAREJO_05,2027-01-11,LOJA_03,PROD_04,45.09
VAREJO_05,2027-01-11,LOJA_03,PROD_05,42.07
VAREJO_05,2027-01-11,LOJA_03,PROD_06,46.64
VAREJO_05,2027-01-11,LOJA_03,PROD_07,37.29
VAREJO_05,2027-01-11,LOJA_03,PROD_08,57.77
VAREJO_05,2027-01-11,LOJA_03,PROD_09,44.12
VAREJO_05,2027-01-11,LOJA_03,PROD_10,65.1
VAREJO_05,2027-01-11,LOJA_04,PROD_01,51.97
VAREJO_05,2027-01-11,LOJA_04,PROD_02,75.82
VAREJO_05,2027-01-11,LOJA_04,PROD_03,44.31
VAREJO_05,2027-01-11,LOJA_04,PROD_04,51.99
VAREJO_05,2027-01-11,LOJA_04,PROD_05,46.11
VAREJO_05,2027-01-11,LOJA_04,PROD_06,68.29
