dataset_id,data,loja,produto,categoria,preco,promocao,estoque,quantidade_vendida,temperatura_prevista,receita_final
VAREJO_05,2025-08-13,LOJA_03,PROD_10,utilidades,26.25,1,168,59,,1548.75
VAREJO_05,2025-06-20,LOJA_02,PROD_08,limpeza,46.58,1,109,45,19.0,2096.1
VAREJO_05,2025-01-30,LOJA_04,PROD_10,utilidades,26.7,1,94,70,31.9,1869.0
VAREJO_05,2025-02-27,LOJA_02,PROD_08,limpeza,55.21,0,150,36,23.2,1987.56
VAREJO_05,2025-07-13,LOJA_03,PROD_08,limpeza,46.36,1,102,55,17.3,2549.8
VAREJO_05,2025-09-20,LOJA_01,PROD_07,limpeza,41.88,0,178,35,22.1,1465.8
VAREJO_05,2025-10-10,LOJA_01,PROD_05,higiene,27.99,0,159,34,26.3,951.66
VAREJO_05,2025-10-01,LOJA_02,PROD_05,higiene,28.82,0,176,31,24.0,893.42
VAREJO_05,2025-05-13,LOJA_01,PROD_10,utilidades,29.74,,95,36,21.2,1070.64
VAREJO_05,2025-05-25,LOJA_04,PROD_09,utilidades,21.89,0,102,41,19.7,897.49
VAREJO_05,2025-07-14,LOJA_04,PROD_06,higiene,34.08,0,109,45,21.7,1533.6
VAREJO_05,2025-01-09,LOJA_01,PROD_02,alimentos,18.24,0,136,48,30.2,875.52
VAREJO_05,2025-01-21,LOJA_03,PROD_07,limpeza,41.37,0,141,39,32.8,1613.43
VAREJO_05,2025-03-11,LOJA_03,PROD_01,alimentos,11.71,0,137,42,27.2,491.82
VAREJO_05,2025-01-14,LOJA_04,PROD_06,higiene,35.49,,93,49,30.8,1739.01
VAREJO_05,2025-09-25,LOJA_03,PROD_02,alimentos,17.0,0,140,46,25.1,782.0
VAREJO_05,2025-12-03,LOJA_03,PROD_08,limpeza,54.18,0,165,48,29.1,2600.64
VAREJO_05,2025-08-09,LOJA_03,PROD_03,bebidas,,0,155,41,19.0,322.26
VAREJO_05,2025-09-12,LOJA_02,PROD_02,alimentos,18.18,0,154,41,19.3,745.38
VAREJO_05,2025-06-16,LOJA_03,PROD_10,utilidades,25.45,1,95,48,16.1,1221.6
VAREJO_05,2025-02-21,LOJA_03,PROD_09,utilidades,20.91,0,164,46,29.8,961.86
VAREJO_05,2025-12-11,LOJA_02,PROD_04,bebidas,10.0,0,171,43,29.0,430.0
VAREJO_05,2025-03-11,LOJA_03,PROD_03,bebidas,6.4,0,163,30,28.1,192.0
VAREJO_05,2025-04-01,LOJA_01,PROD_10,,30.21,0,128,32,28.0,966.72
VAREJO_05,2025-04-18,LOJA_03,PROD_08,limpeza,54.75,0,,29,21.2,1587.75
VAREJO_05,2025-12-07,LOJA_01,PROD_05,higiene,24.39,1,161,48,,1170.72
VAREJO_05,2025-10-09,LOJA_04,PROD_04,bebidas,11.1,,96,52,21.5,577.2
VAREJO_05,2025-08-18,LOJA_03,PROD_04,bebidas,,0,103,41,19.7,462.89
VAREJO_05,2025-10-26,LOJA_02,PROD_06,higiene,30.14,1,115,67,26.9,2019.38
VAREJO_05,2025-01-18,LOJA_03,PROD_02,alimentos,14.99,1,168,75,31.4,1124.25
VAREJO_05,2025-10-15,LOJA_01,PROD_09,utilidades,20.77,0,140,36,26.4,747.72
VAREJO_05,2025-05-12,LOJA_04,PROD_07,limpeza,41.98,0,179,30,16.1,1259.4
VAREJO_05,2025-03-07,LOJA_02,PROD_05,higiene,24.48,1,169,48,29.4,1175.04
VAREJO_05,2025-12-12,LOJA_01,PROD_05,higiene,27.45,0,157,39,26.9,1070.55
VAREJO_05,2025-03-27,LOJA_01,PROD_08,limpeza,55.38,0,163,24,24.9,1329.12
VAREJO_05,2025-12-05,LOJA_02,PROD_10,utilidades,29.34,0,,45,28.8,1320.3
VAREJO_05,2025-09-13,LOJA_04,PROD_09,utilidades,18.98,1,107,74,17.5,1404.52
VAREJO_05,2025-12-08,LOJA_03,PROD_02,alimentos,18.58,0,92,56,29.3,1040.48
VAREJO_05,2025-06-14,LOJA_03,PROD_10, UTILIDADES ,25.11,1,107,66,14.1,1657.26
VAREJO_05,2025-02-02,LOJA_03,PROD_03,bebidas,7.09,0,,52,29.9,368.68
VAREJO_05,2025-03-12,LOJA_03,PROD_09,utilidades,22.89,0,125,38,27.1,869.82
VAREJO_05,2025-10-03,LOJA_01,PROD_06,higiene,35.13,0,145,40,29.1,1405.2
VAREJO_05,2025-06-27,LOJA_03,PROD_10,utilidades,29.95,0,121,41,19.6,1227.95
VAREJO_05,2025-07-08,LOJA_02,PROD_08,limpeza,47.04,,94,44,18.6,2069.76
VAREJO_05,2025-06-11,LOJA_01,PROD_06,higiene,35.99,0,177,24,18.7,863.76
VAREJO_05,2025-12-27,LOJA_01,PROD_05,,27.89,0,176,40,30.3,1115.6
VAREJO_05,2025-01-30,LOJA_02,PROD_04,bebidas,9.49,1,174,49,28.7,465.01
VAREJO_05,2025-08-17,LOJA_04,PROD_01,alimentos,11.73,0,165,53,18.3,
VAREJO_05,2025-06-02,LOJA_02,PROD_09,utilidades,20.73,0,172,25,20.2,518.25
VAREJO_05,2025-04-30,LOJA_04,PROD_02,alimentos,18.5,0,,37,,684.5
VAREJO_05,2025-03-24,LOJA_01,PROD_09,utilidades,22.29,0,108,29,28.9,646.41
VAREJO_05,2025-09-28,LOJA_03,PROD_01,alimentos,12.78,0,173,54,22.9,690.12
VAREJO_05,2025-08-23,LOJA_02,PROD_07,limpeza,42.84,,,34,17.5,1456.56
VAREJO_05,2025-02-11,LOJA_01,PROD_02,alimentos,14.74,1,152,63,29.3,928.62
VAREJO_05,2025-09-25,LOJA_01,PROD_08,limpeza,47.77,1,98,53,25.7,
VAREJO_05,2025-05-02,LOJA_04,PROD_05,higiene,27.89,0,91,36,24.2,1004.04
VAREJO_05,2025-11-20,LOJA_02,PROD_02,alimentos,18.06,0,145,53,28.9,957.18
VAREJO_05,2025-12-26,LOJA_04,PROD_03,bebidas,6.74,0,149,47,30.6,316.78
VAREJO_05,2025-03-19,LOJA_04,PROD_06,higiene,35.55,0,111,52,23.3,1848.6
VAREJO_05,2025-06-11,LOJA_03,PROD_07,limpeza,42.04,0,162,22,18.9,924.88
VAREJO_05,2025-10-26,LOJA_02,PROD_05,,28.39,0,111,44,30.0,1249.16
VAREJO_05,2025-09-18,LOJA_03,PROD_02,alimentos,16.94,0,91,51,22.2,863.94
VAREJO_05,2025-11-26,LOJA_01,PROD_07,limpeza,41.99,0,165,30,26.2,1259.7
VAREJO_05,2025-04-12,LOJA_03,PROD_08,limpeza,55.22,0,156,41,20.8,2264.02
VAREJO_05,2025-01-29,LOJA_01,PROD_07,limpeza,42.61,0,115,23,28.3,980.03
VAREJO_05,2025-07-18,LOJA_01,PROD_03,bebidas,6.51,0,176,29,18.2,188.79
VAREJO_05,2025-07-11,LOJA_03,PROD_02,alimentos,17.3,0,154,38,18.5,657.4
VAREJO_05,2025-05-15,LOJA_04,PROD_06,,36.17,0,129,45,18.0,1627.65
VAREJO_05,2025-11-15,LOJA_03,PROD_07,limpeza,42.93,0,143,43,28.1,1845.99
VAREJO_05,2025-03-09,LOJA_04,PROD_07,limpeza,41.96,0,148,47,28.4,1972.12
VAREJO_05,2025-01-12,LOJA_02,PROD_05,higiene,27.73,0,170,43,26.9,1192.39
VAREJO_05,2025-05-25,LOJA_02,PROD_04,bebidas,11.72,0,154,38,19.8,445.36
VAREJO_05,2025-02-27,LOJA_04,PROD_06,higiene,30.06,1,124,54,27.9,1623.24
VAREJO_05,2025-01-18,LOJA_01,PROD_08,limpeza,55.03,0,91,28,31.6,1540.84
VAREJO_05,2025-07-31,LOJA_01,PROD_01,,12.21,0,167,32,17.4,390.72
VAREJO_05,2025-02-08,LOJA_04,PROD_01,alimentos,11.68,0,108,53,,619.04
VAREJO_05,2025-05-02,LOJA_03,PROD_10,utilidades,25.63,1,152,55,21.6,1409.65
VAREJO_05,2025-11-21,LOJA_01,PROD_09,utilidades,22.26,0,134,37,25.8,823.62
VAREJO_05,2025-12-29,LOJA_02,PROD_05,higiene,27.95,0,104,31,31.3,866.45
VAREJO_05,2025-01-04,LOJA_02,PROD_07,limpeza,42.23,,178,37,,1562.51
VAREJO_05,2025-04-16,LOJA_04,PROD_05,,28.55,0,127,33,,942.15
VAREJO_05,2025-02-12,LOJA_01,PROD_03,bebidas,6.48,0,132,28,25.9,181.44
VAREJO_05,2025-05-22,LOJA_04,PROD_10,utilidades,29.88,0,159,36,19.9,1075.68
VAREJO_05,2025-01-03,LOJA_04,PROD_02,alimentos,-99.00,0,179,62,,1087.48
VAREJO_05,2025-06-18,LOJA_03,PROD_10,utilidades,25.55,,128,51,18.0,1303.05
VAREJO_05,2025-06-23,LOJA_02,PROD_10,utilidades,25.59,1,141,45,,1151.55
VAREJO_05,2025-11-01,LOJA_02,PROD_04,bebidas,"11,14",0,163,52,26.3,579.28
VAREJO_05,2025-04-27,LOJA_04,PROD_06,higiene,35.18,0,122,46,19.8,1618.28
VAREJO_05,2025-06-29,LOJA_01,PROD_05,higiene,,0,135,26,17.8,724.62
VAREJO_05,2025-12-29,LOJA_02,PROD_09,utilidades,18.38,,107,52,32.9,955.76
VAREJO_05,2025-08-08,LOJA_01,PROD_04,bebidas,11.28,,125,41,18.7,462.48
VAREJO_05,2025-09-20,LOJA_01,PROD_09,utilidades,21.57,0,125,37,21.6,798.09
VAREJO_05,2025-09-06,LOJA_01,PROD_03,bebidas,,1,112,56,19.9,328.72
VAREJO_05,2025-08-13,LOJA_01,PROD_09,,22.52,0,143,34,18.6,765.68
VAREJO_05,2025-11-19,LOJA_03,PROD_06,higiene,34.75,0,120,51,25.5,1772.25
VAREJO_05,2025-01-01,LOJA_01,PROD_09,utilidades,21.9,0,117,34,27.6,744.6
VAREJO_05,2025-09-18,LOJA_04,PROD_09,utilidades,22.93,0,137,50,23.4,
VAREJO_05,2025-05-29,LOJA_02,PROD_03,bebidas,5.43,1,95,33,18.9,179.19
VAREJO_05,2025-12-20,LOJA_03,PROD_06,higiene,36.13,0,161,50,27.2,1806.5
VAREJO_05,2025-01-08,LOJA_01,PROD_05,higiene,28.97,0,100,31,32.6,898.07
VAREJO_05,2025-12-10,LOJA_01,PROD_08,limpeza,55.4,0,96,37,31.3,2049.8
VAREJO_05,2025-12-14,LOJA_01,PROD_05,higiene,26.55,0,,39,30.3,1035.45
VAREJO_05,2025-07-16,LOJA_01,PROD_09,utilidades,23.12,0,9999,30,,693.6
VAREJO_05,2025-08-31,LOJA_02,PROD_07,limpeza,41.64,0,136,36,20.1,1499.04
VAREJO_05,2025-07-02,LOJA_02,PROD_05,higiene,27.88,0,123,31,18.0,864.28
VAREJO_05,2025-10-31,LOJA_03,PROD_04,bebidas,9.48,1,154,59,25.2,559.32
VAREJO_05,2025-11-30,LOJA_04,PROD_06,higiene,35.86,0,178,57,29.6,2044.02
VAREJO_05,2025-11-07,LOJA_04,PROD_08,limpeza,54.91,0,,47,26.8,2580.77
VAREJO_05,2025-11-24,LOJA_02,PROD_05,higiene,23.94,1,143,52,27.2,1244.88
VAREJO_05,2025-07-07,LOJA_04,PROD_01,alimentos,11.76,0,130,30,16.7,352.8
VAREJO_05,2025-06-21,LOJA_03,PROD_10,utilidades,29.43,0,140,44,20.0,1294.92
VAREJO_05,2025-01-17,LOJA_02,PROD_07,limpeza,42.13,0,152,25,32.5,1053.25
VAREJO_05,2025-09-16,LOJA_03,PROD_06,higiene,34.74,0,150,59,20.7,2049.66
VAREJO_05,2025-06-15,LOJA_04,PROD_05,higiene,29.04,0,98,44,20.1,1277.76
VAREJO_05,2025-08-23,LOJA_01,PROD_07,limpeza,35.8,1,123,47,22.4,1682.6
VAREJO_05,2025-10-02,LOJA_03,PROD_02,alimentos,18.32,0,133,54,29.0,989.28
VAREJO_05,2025-11-05,LOJA_02,PROD_08,limpeza,55.73,0,136,45,,2507.85
VAREJO_05,2025-07-12,LOJA_01,PROD_03,bebidas,6.96,0,96,22,18.6,153.12
VAREJO_05,2025-08-25,LOJA_04,PROD_05,higiene,28.48,,122,44,21.5,1253.12
VAREJO_05,2025-08-17,LOJA_04,PROD_07,limpeza,41.97,0,150,45,19.6,1888.65
VAREJO_05,2025-11-26,LOJA_01,PROD_06,higiene,29.27,1,115,55,25.9,1609.85
VAREJO_05,2025-09-10,LOJA_04,PROD_08,limpeza,,0,139,50,25.0,2776.0
VAREJO_05,2025-10-18,LOJA_02,PROD_02,alimentos,17.18,0,90,58,25.5,996.44
VAREJO_05,2025-04-24,LOJA_01,PROD_02,alimentos,15.47,1,126,55,22.0,850.85
VAREJO_05,2025-11-03,LOJA_01,PROD_09,utilidades,18.55,,119,52,27.8,964.6
VAREJO_05,2025-09-18,LOJA_02,PROD_03,bebidas,6.66,0,139,36,23.3,239.76
VAREJO_05,2025-07-21,LOJA_01,PROD_09,utilidades,19.17,1,127,47,18.4,900.99
VAREJO_05,2025-09-10,LOJA_04,PROD_01,alimentos,12.43,0,95,48,23.6,596.64
VAREJO_05,2025-10-13,LOJA_01,PROD_06,higiene,35.02,0,91,39,25.0,1365.78
VAREJO_05,2025-09-09,LOJA_04,PROD_09,utilidades,22.25,,170,50,23.2,1112.5
VAREJO_05,2025-10-14,LOJA_01,PROD_03,bebidas,8.26,0,114,21,24.6,
VAREJO_05,24/07/2025,LOJA_04,PROD_08,limpeza,55.36,0,99,45,18.0,2491.2
VAREJO_05,2025-04-18,LOJA_01,PROD_06,,35.04,0,95,23,19.1,
VAREJO_05,2025-03-21,LOJA_03,PROD_05,higiene,28.0,0,95,37,24.6,1036.0
VAREJO_05,2025-12-12,LOJA_02,PROD_01,alimentos,11.66,0,163,49,29.1,571.34
VAREJO_05,2025-03-28,LOJA_03,PROD_09,utilidades,19.18,1,137,50,24.4,959.0
VAREJO_05,2025-02-15,LOJA_03,PROD_09,utilidades,18.23,1,99,61,27.9,1112.03
VAREJO_05,2025-01-14,LOJA_04,PROD_04,bebidas,10.16,1,159,66,27.5,670.56
VAREJO_05,2025-12-25,LOJA_03,PROD_08,limpeza,55.38,0,173,43,31.2,2381.34
VAREJO_05,2025-12-31,LOJA_03,PROD_10,utilidades,30.25,0,92,59,29.8,1784.75
VAREJO_05,2025-09-08,LOJA_03,PROD_06,higiene,34.77,0,173,54,20.5,1877.58
VAREJO_05,2025-03-12,LOJA_03,PROD_07,limpeza,42.18,0,164,35,26.6,1476.3
VAREJO_05,2025-05-13,LOJA_03,PROD_08,limpeza,55.44,0,126,32,,1774.08
VAREJO_05,2025-01-08,LOJA_04,PROD_08,limpeza,55.07,0,117,51,28.1,2808.57
VAREJO_05,2025-04-24,LOJA_04,PROD_08,limpeza,54.36,0,152,36,20.9,1956.96
VAREJO_05,10/02/2025,LOJA_03,PROD_04,bebidas,10.62,1,97,57,31.7,
VAREJO_05,2025-10-04,LOJA_03,PROD_03,bebidas,5.95,0,101,48,21.9,285.6
VAREJO_05,2025-11-21,LOJA_04,PROD_04,bebidas,,0,97,47,30.6,527.81
VAREJO_05,2025-01-02,LOJA_01,PROD_01,alimentos,12.3,0,96,40,32.1,492.0
VAREJO_05,2025-05-17,LOJA_04,PROD_05,higiene,28.04,0,143,41,20.3,1149.64
VAREJO_05,2025-09-24,LOJA_04,PROD_10,utilidades,26.15,1,108,65,22.3,1699.75
VAREJO_05,2025-05-25,LOJA_03,PROD_01,alimentos,9.01,1,165,50,21.8,450.5
VAREJO_05,2025-03-26,LOJA_04,PROD_06,higiene,35.27,0,94,48,23.1,1692.96
VAREJO_05,2025-10-07,LOJA_04,PROD_03,bebidas,7.33,0,159,42,24.9,307.86
VAREJO_05,2025-03-16,LOJA_02,PROD_07,limpeza,42.28,0,147,29,,1226.12
VAREJO_05,2025-07-11,LOJA_04,PROD_09,utilidades,21.97,0,127,44,15.4,966.68
VAREJO_05,2025-02-05,LOJA_04,PROD_03,bebidas,6.58,1,157,55,29.2,361.9
VAREJO_05,2025-02-21,LOJA_03,PROD_10,utilidades,30.45,0,179,42,29.8,1278.9
VAREJO_05,2025-02-03,LOJA_01,PROD_03,bebidas,6.0,0,95,27,30.7,162.0
VAREJO_05,2025-12-08,LOJA_04,PROD_09,,18.95,1,122,64,29.3,1212.8
VAREJO_05,2025-07-28,LOJA_01,PROD_02,alimentos,17.92,0,152,37,18.9,663.04
VAREJO_05,2025-06-10,LOJA_01,PROD_08,limpeza,56.16,0,100,18,,1010.88
VAREJO_05,2025-03-06,LOJA_02,PROD_05,higiene,24.78,1,134,51,28.0,1263.78
VAREJO_05,2025-11-15,LOJA_01,PROD_09,utilidades,21.37,0,133,46,24.8,983.02
VAREJO_05,2025-08-14,LOJA_04,PROD_03,bebidas,8.84,0,174,41,20.3,362.44
VAREJO_05,2025-04-02,LOJA_04,PROD_05,higiene,23.69,1,150,50,21.7,1184.5
VAREJO_05,2025-09-18,LOJA_03,PROD_08,limpeza,,0,154,51,,2849.37
VAREJO_05,2025-02-24,LOJA_03,PROD_01,alimentos,10.86,1,173,59,28.2,640.74
VAREJO_05,2025-12-08,LOJA_02,PROD_03,bebidas,6.2,,99,40,32.7,248.0
VAREJO_05,2025-06-26,LOJA_03,PROD_08,limpeza,54.79,,174,35,16.4,1917.65
VAREJO_05,2025-07-23,LOJA_02,PROD_02,alimentos,17.52,0,143,44,20.1,770.88
VAREJO_05,2025-12-06,LOJA_02,PROD_05,higiene,27.57,0,136,44,28.2,1213.08
VAREJO_05,2025-12-12,LOJA_03,PROD_01,alimentos,12.13,0,171,49,30.5,594.37
VAREJO_05,2025-10-09,LOJA_01,PROD_07,limpeza,42.78,0,96,31,25.6,1326.18
VAREJO_05,2025-08-15,LOJA_03,PROD_08,limpeza,54.84,0,113,47,,2577.48
VAREJO_05,2025-10-07,LOJA_02,PROD_09,utilidades,21.08,0,157,38,24.1,801.04
VAREJO_05,2025-10-03,LOJA_01,PROD_03,bebidas,7.24,1,91,39,25.9,282.36
VAREJO_05,2025-11-06,LOJA_01,PROD_05,higiene,28.81,0,,32,,921.92
VAREJO_05,2025-04-16,LOJA_03,PROD_07, LIMPEZA ,42.9,0,,30,24.7,1287.0
VAREJO_05,2025-08-11,LOJA_01,PROD_04,bebidas,11.43,0,170,33,19.9,377.19
VAREJO_05,2025-05-18,LOJA_02,PROD_10,utilidades,30.23,0,91,35,21.0,1058.05
VAREJO_05,2025-10-14,LOJA_02,PROD_02,alimentos,19.23,0,140,47,26.7,903.81
VAREJO_05,2025-05-19,LOJA_04,PROD_05,higiene,23.79,1,128,50,19.9,1189.5
VAREJO_05,2025-05-18,LOJA_03,PROD_02,alimentos,18.34,0,160,34,18.5,623.56
VAREJO_05,2025-11-05,LOJA_01,PROD_10,utilidades,30.11,nao,136,47,25.8,1415.17
VAREJO_05,2025-08-22,LOJA_04,PROD_07,limpeza,41.39,0,151,42,19.5,1738.38
VAREJO_05,2025-10-24,LOJA_03,PROD_03,bebidas,6.54,0,121,31,,202.74
VAREJO_05,2025-11-27,LOJA_04,PROD_06,higiene,35.27,0,124,50,30.5,1763.5
VAREJO_05,2025-10-12,LOJA_02,PROD_08,limpeza,55.01,0,163,46,21.6,2530.46
VAREJO_05,2025-12-26,LOJA_04,PROD_02,alimentos,17.74,0,101,63,29.4,
VAREJO_05,2025-01-27,LOJA_02,PROD_08,limpeza,55.45,0,140,40,26.3,2218.0
VAREJO_05,2025-07-12,LOJA_03,PROD_08,limpeza,54.76,0,159,46,16.4,2518.96
VAREJO_05,29/05/2025,LOJA_03,PROD_04,bebidas,9.01,1,107,51,19.3,459.51
VAREJO_05,2025-11-24,LOJA_04,PROD_01,alimentos,12.15,0,139,55,31.9,668.25
VAREJO_05,2025-03-01,LOJA_02,PROD_02,alimentos,13.78,1,149,61,28.2,840.58
VAREJO_05,2025-10-17,LOJA_02,PROD_01,alimentos,11.23,0,121,46,26.5,516.58
VAREJO_05,2025-02-18,LOJA_02,PROD_03,bebidas,7.44,0,124,32,25.7,238.08
VAREJO_05,2025-11-07,LOJA_02,PROD_02,alimentos,17.75,0,102,52,27.8,923.0
VAREJO_05,2025-08-18,LOJA_03,PROD_10,utilidades,29.27,0,128,48,19.3,1404.96
VAREJO_05,2025-01-21,LOJA_02,PROD_05,higiene,27.43,0,113,37,29.5,1014.91
VAREJO_05,2025-07-30,LOJA_01,PROD_02,alimentos,18.29,,103,35,24.6,640.15
VAREJO_05,2025-10-07,LOJA_01,PROD_05,higiene,27.24,0,166,38,25.7,1035.12
VAREJO_05,2025-05-12,LOJA_04,PROD_06,higiene,30.43,1,112,56,19.0,1704.08
VAREJO_05,2025-08-11,LOJA_01,PROD_07,limpeza,42.12,0,121,24,17.8,1010.88
VAREJO_05,2025-10-27,LOJA_03,PROD_09,,21.7,0,148,46,23.6,998.2
VAREJO_05,2025-01-16,LOJA_02,PROD_02,alimentos,17.74,0,96,50,30.8,887.0
VAREJO_05,2025-04-09,LOJA_01,PROD_05,higiene,26.76,0,92,12,22.9,321.12
VAREJO_05,2025-10-30,LOJA_02,PROD_10,utilidades,29.87,0,90,52,26.5,1553.24
VAREJO_05,2025-09-15,LOJA_04,PROD_10,utilidades,25.13,1,111,67,23.8,1683.71
VAREJO_05,2025-04-05,LOJA_03,PROD_09,utilidades,22.61,0,106,42,23.5,949.62
VAREJO_05,2025-10-23,LOJA_03,PROD_10,utilidades,29.23,0,134,56,25.4,1636.88
VAREJO_05,2025-07-20,LOJA_03,PROD_01,alimentos,11.52,0,118,40,18.5,460.8
VAREJO_05,2025-06-15,LOJA_04,PROD_02,alimentos,18.08,0,143,46,17.6,831.68
VAREJO_05,2025-09-01,LOJA_03,PROD_07,limpeza,41.74,0,137,37,20.4,1544.38
VAREJO_05,2025-06-16,LOJA_01,PROD_09,utilidades,21.06,0,155,32,19.1,673.92
VAREJO_05,2025-04-17,LOJA_03,PROD_06,higiene,35.15,0,103,39,23.5,1370.85
VAREJO_05,2025-01-22,LOJA_02,PROD_01,,11.81,0,,45,29.7,531.45
VAREJO_05,2025-10-18,LOJA_03,PROD_10,utilidades,26.0,,134,67,24.9,1742.0
VAREJO_05,2025-01-20,LOJA_04,PROD_02,alimentos,15.46,1,115,74,30.1,1144.04
VAREJO_05,2025-09-26,LOJA_02,PROD_08,limpeza,54.74,0,129,37,24.4,2025.38
VAREJO_05,2025-10-12,LOJA_03,PROD_05,higiene,23.25,1,113,56,24.6,1302.0
VAREJO_05,2025-09-17,LOJA_04,PROD_03,bebidas,6.83,nao,96,53,22.3,361.99
VAREJO_05,2025-12-18,LOJA_03,PROD_08,limpeza,54.06,0,97,40,,2162.4
