dataset_id,data,loja,produto,categoria,preco,promocao,estoque,temperatura_prevista,receita_final
VAREJO_05,2027-01-02,LOJA_02,PROD_05,higiene,28.81,0,94,29.3,
VAREJO_05,2027-01-02,LOJA_02,PROD_06,higiene,35.43,0,161,29.0,
VAREJO_05,2027-01-02,LOJA_02,PROD_07,,41.3,0,90,29.0,
VAREJO_05,2027-01-02,LOJA_02,PROD_08,limpeza,54.98,0,135,29.7,
VAREJO_05,2027-01-02,LOJA_02,PROD_09,,21.1,0,147,30.2,
VAREJO_05,2027-01-02,LOJA_02,PROD_10,utilidades,30.26,0,175,30.1,
VAREJO_05,2027-01-02,LOJA_03,PROD_01,alimentos,12.33,1,101,33.0,
VAREJO_05,2027-01-02,LOJA_03,PROD_02,alimentos,,1,130,27.5,
VAREJO_05,2027-01-02,LOJA_03,PROD_03,,7.6,0,127,30.0,
VAREJO_05,2027-01-02,LOJA_03,PROD_04,bebidas,11.12,0,102,29.9,
VAREJO_05,2027-01-02,LOJA_03,PROD_05,higiene,24.19,1,105,31.5,
VAREJO_05,2027-01-02,LOJA_03,PROD_06,,28.5,1,96,28.4,
VAREJO_05,2027-01-02,LOJA_03,PROD_07,limpeza,"41,97",0,158,30.4,
VAREJO_05,2027-01-02,LOJA_03,PROD_08,limpeza,54.08,0,169,27.9,
VAREJO_05,2027-01-02,LOJA_03,PROD_09,utilidades,22.81,0,139,32.6,
VAREJO_05,2027-01-02,LOJA_03,PROD_10,utilidades,25.98,1,107,30.6,
VAREJO_05,2027-01-02,LOJA_04,PROD_01,alimentos,12.54,0,177,31.6,
VAREJO_05,2027-01-02,LOJA_04,PROD_02,alimentos,18.32,0,,30.1,
VAREJO_05,2027-01-02,LOJA_04,PROD_03,bebidas,6.07,1,147,,
VAREJO_05,2027-01-02,LOJA_04,PROD_04,bebidas,9.0,1,109,27.8,
VAREJO_05,2027-01-02,LOJA_04,PROD_05,higiene,28.44,0,110,29.6,
VAREJO_05,2027-01-02,LOJA_04,PROD_06,higiene,29.88,1,128,28.7,
VAREJO_05,2027-01-02,LOJA_04,PROD_07,,40.88,nao,,27.0,
VAREJO_05,2027-01-02,LOJA_04,PROD_08,limpeza,55.32,0,158,28.2,
VAREJO_05,2027-01-02,LOJA_04,PROD_09,utilidades,20.87,0,113,28.2,
VAREJO_05,2027-01-02,LOJA_04,PROD_10,utilidades,29.04,0,146,28.8,
VAREJO_05,2027-01-03,LOJA_01,PROD_01,alimentos,10.44,1,138,29.8,
VAREJO_05,2027-01-03,LOJA_01,PROD_02,alimentos,16.67,0,125,31.4,
VAREJO_05,2027-01-03,LOJA_01,PROD_03,bebidas,6.39,1,123,30.9,
VAREJO_05,2027-01-03,LOJA_01,PROD_04,bebidas,11.11,0,165,28.5,
VAREJO_05,2027-01-03,LOJA_01,PROD_05,higiene,,0,114,31.5,
VAREJO_05,2027-01-03,LOJA_01,PROD_06,higiene,37.23,0,107,32.0,
VAREJO_05,2027-01-03,LOJA_01,PROD_07,limpeza,41.76,0,,30.8,
VAREJO_05,2027-01-03,LOJA_01,PROD_08,limpeza,55.86,0,149,29.6,
VAREJO_05,2027-01-03,LOJA_01,PROD_09,utilidades,23.2,0,176,31.8,
VAREJO_05,2027-01-03,LOJA_01,PROD_10,utilidades,25.3,1,175,,
VAREJO_05,2027-01-03,LOJA_02,PROD_01,alimentos,11.93,0,162,29.9,
VAREJO_05,2027-01-03,LOJA_02,PROD_02,,17.8,0,97,32.5,
VAREJO_05,2027-01-03,LOJA_02,PROD_03,bebidas,6.54,0,125,32.4,
VAREJO_05,2027-01-03,LOJA_02,PROD_04,bebidas,10.32,0,166,30.8,
VAREJO_05,2027-01-03,LOJA_02,PROD_05,higiene,27.4,0,,27.9,
VAREJO_05,2027-01-03,LOJA_02,PROD_06,higiene,35.31,0,165,28.2,
VAREJO_05,2027-01-03,LOJA_02,PROD_07,limpeza,42.07,0,169,29.0,
VAREJO_05,2027-01-03,LOJA_02,PROD_08,limpeza,47.65,1,158,29.2,
VAREJO_05,2027-01-03,LOJA_02,PROD_09,utilidades,21.65,0,129,29.8,
VAREJO_05,2027-01-03,LOJA_02,PROD_10,utilidades,30.68,0,,27.9,
VAREJO_05,2027-01-03,LOJA_03,PROD_01,alimentos,,0,110,31.0,
VAREJO_05,2027-01-03,LOJA_03,PROD_02,alimentos,18.32,0,147,30.5,
VAREJO_05,2027-01-03,LOJA_03,PROD_03,bebidas,7.43,0,160,36.0,
VAREJO_05,2027-01-03,LOJA_03,PROD_04,bebidas,12.21,0,174,33.0,
VAREJO_05,03/01/2027,LOJA_03,PROD_05,higiene,28.84,0,145,27.4,
VAREJO_05,2027-01-03,LOJA_03,PROD_06,higiene,29.52,,158,28.6,
VAREJO_05,2027-01-03,LOJA_03,PROD_07,limpeza,42.08,0,139,,
VAREJO_05,2027-01-03,LOJA_03,PROD_08,limpeza,48.19,1,175,26.6,
VAREJO_05,2027-01-03,LOJA_03,PROD_09,utilidades,21.65,0,173,30.5,
VAREJO_05,2027-01-03,LOJA_03,PROD_10,utilidades,30.25,0,150,28.9,
VAREJO_05,2027-01-03,LOJA_04,PROD_01,alimentos,12.37,1,145,27.3,
VAREJO_05,2027-01-03,LOJA_04,PROD_02,alimentos,18.45,0,98,29.9,
VAREJO_05,2027-01-03,LOJA_04,PROD_03,bebidas,6.51,1,155,30.1,
VAREJO_05,2027-01-03,LOJA_04,PROD_04,bebidas,11.5,0,139,26.5,
VAREJO_05,2027-01-03,LOJA_04,PROD_05,higiene,28.55,0,178,28.9,
VAREJO_05,2027-01-03,LOJA_04,PROD_06,,34.01,0,175,,
VAREJO_05,2027-01-03,LOJA_04,PROD_07,limpeza,42.85,0,112,32.0,
VAREJO_05,2027-01-03,LOJA_04,PROD_08,,56.22,0,175,28.7,
VAREJO_05,2027-01-03,LOJA_04,PROD_09,utilidades,21.92,,102,30.4,
VAREJO_05,2027-01-03,LOJA_04,PROD_10,utilidades,30.0,,133,29.3,
VAREJO_05,2027-01-04,LOJA_01,PROD_01,alimentos,11.77,0,126,30.7,
VAREJO_05,2027-01-04,LOJA_01,PROD_02,alimentos,17.85,0,169,27.8,
VAREJO_05,2027-01-04,LOJA_01,PROD_03,bebidas,6.07,0,174,32.0,
VAREJO_05,2027-01-04,LOJA_01,PROD_04,bebidas,11.48,0,137,28.9,
VAREJO_05,2027-01-04,LOJA_01,PROD_05,higiene,27.81,0,9999,30.7,
VAREJO_05,2027-01-04,LOJA_01,PROD_06,higiene,29.58,1,162,27.9,
VAREJO_05,2027-01-04,LOJA_01,PROD_07,limpeza,41.14,0,,30.4,
VAREJO_05,2027-01-04,LOJA_01,PROD_08,,56.21,0,119,30.9,
VAREJO_05,2027-01-04,LOJA_01,PROD_09,utilidades,18.11,1,107,29.0,
VAREJO_05,04/01/2027,LOJA_01,PROD_10,,30.48,0,162,29.8,
VAREJO_05,2027-01-04,LOJA_02,PROD_01,alimentos,9.73,1,145,28.6,
VAREJO_05,2027-01-04,LOJA_02,PROD_02,alimentos,17.81,0,160,31.3,
VAREJO_05,2027-01-04,LOJA_02,PROD_03,bebidas,6.65,0,173,32.6,
VAREJO_05,2027-01-04,LOJA_02,PROD_04,bebidas,8.85,1,168,29.9,
VAREJO_05,2027-01-04,LOJA_02,PROD_05, HIGIENE ,29.28,0,138,31.6,
VAREJO_05,2027-01-04,LOJA_02,PROD_06,higiene,30.89,1,136,26.7,
VAREJO_05,2027-01-04,LOJA_02,PROD_07,limpeza,37.74,1,158,30.2,
VAREJO_05,2027-01-04,LOJA_02,PROD_08,limpeza,54.26,0,111,31.5,
VAREJO_05,2027-01-04,LOJA_02,PROD_09,utilidades,22.56,0,93,29.2,
VAREJO_05,2027-01-04,LOJA_02,PROD_10,utilidades,30.33,0,101,29.8,
VAREJO_05,2027-01-04,LOJA_03,PROD_01,alimentos,12.78,0,104,28.7,
VAREJO_05,2027-01-04,LOJA_03,PROD_02,alimentos,18.89,0,98,28.9,
VAREJO_05,2027-01-04,LOJA_03,PROD_03,bebidas,-99.00,1,99,31.3,
VAREJO_05,2027-01-04,LOJA_03,PROD_04,bebidas,9.93,1,105,31.9,
VAREJO_05,2027-01-04,LOJA_03,PROD_05,higiene,28.7,0,176,31.3,
VAREJO_05,2027-01-04,LOJA_03,PROD_06,higiene,35.4,0,110,29.0,
VAREJO_05,2027-01-04,LOJA_03,PROD_07,limpeza,42.29,0,134,27.2,
VAREJO_05,2027-01-04,LOJA_03,PROD_08,limpeza,54.58,0,163,33.0,
VAREJO_05,2027-01-04,LOJA_03,PROD_09,utilidades,21.93,0,123,28.7,
VAREJO_05,2027-01-04,LOJA_03,PROD_10,utilidades,29.7,0,166,27.2,
VAREJO_05,2027-01-04,LOJA_04,PROD_01,alimentos,9.94,1,109,30.5,
VAREJO_05,2027-01-04,LOJA_04,PROD_02,alimentos,18.05,0,147,27.9,
VAREJO_05,2027-01-04,LOJA_04,PROD_03,bebidas,7.63,0,129,28.7,
VAREJO_05,2027-01-04,LOJA_04,PROD_04,bebidas,11.59,0,127,29.5,
VAREJO_05,2027-01-04,LOJA_04,PROD_05,higiene,27.99,,177,29.9,
VAREJO_05,04/01/2027,LOJA_04,PROD_06,higiene,34.28,,171,25.7,
VAREJO_05,2027-01-04,LOJA_04,PROD_07,limpeza,42.3,0,123,31.6,
VAREJO_05,2027-01-04,LOJA_04,PROD_08,limpeza,55.03,0,119,28.7,
VAREJO_05,2027-01-04,LOJA_04,PROD_09,utilidades,21.83,0,134,26.6,
VAREJO_05,04/01/2027,LOJA_04,PROD_10,utilidades,29.22,0,108,28.8,
VAREJO_05,2027-01-05,LOJA_01,PROD_01,,11.65,0,152,30.6,
VAREJO_05,2027-01-05,LOJA_01,PROD_02,alimentos,18.41,0,112,30.3,
VAREJO_05,2027-01-05,LOJA_01,PROD_03,bebidas,7.08,0,124,32.1,
VAREJO_05,2027-01-05,LOJA_01,PROD_04,bebidas,10.02,0,118,27.6,
VAREJO_05,2027-01-05,LOJA_01,PROD_05,higiene,27.33,0,96,27.6,
VAREJO_05,2027-01-05,LOJA_01,PROD_06,higiene,34.95,0,153,27.6,
VAREJO_05,2027-01-05,LOJA_01,PROD_07,limpeza,35.76,1,178,28.8,
VAREJO_05,2027-01-05,LOJA_01,PROD_08,limpeza,55.55,0,99,30.6,
VAREJO_05,2027-01-05,LOJA_01,PROD_09,utilidades,21.59,0,91,30.9,
VAREJO_05,2027-01-05,LOJA_01,PROD_10,utilidades,29.58,0,161,29.1,
VAREJO_05,2027-01-05,LOJA_02,PROD_01,alimentos,11.36,0,108,28.5,
VAREJO_05,2027-01-05,LOJA_02,PROD_02,alimentos,16.97,0,115,28.2,
VAREJO_05,2027-01-05,LOJA_02,PROD_03,bebidas,7.7,0,163,28.2,
VAREJO_05,2027-01-05,LOJA_02,PROD_04,bebidas,10.2,0,157,29.9,
VAREJO_05,2027-01-05,LOJA_02,PROD_05,higiene,26.92,0,96,31.1,
VAREJO_05,2027-01-05,LOJA_02,PROD_06,higiene,35.3,0,153,29.1,
VAREJO_05,2027-01-05,LOJA_02,PROD_07,limpeza,41.55,0,179,27.5,
VAREJO_05,2027-01-05,LOJA_02,PROD_08,limpeza,55.82,0,102,32.4,
VAREJO_05,2027-01-05,LOJA_02,PROD_09,utilidades,22.49,0,127,31.5,
VAREJO_05,2027-01-05,LOJA_02,PROD_10,utilidades,24.72,1,105,31.6,
VAREJO_05,2027-01-05,LOJA_03,PROD_01,alimentos,11.39,0,117,33.3,
VAREJO_05,2027-01-05,LOJA_03,PROD_02,alimentos,14.58,1,131,33.2,
VAREJO_05,2027-01-05,LOJA_03,PROD_03,bebidas,5.25,1,108,32.4,
VAREJO_05,2027-01-05,LOJA_03,PROD_04,bebidas,10.79,0,178,30.0,
VAREJO_05,2027-01-05,LOJA_03,PROD_05,higiene,27.95,0,155,32.5,
VAREJO_05,2027-01-05,LOJA_03,PROD_06,higiene,29.75,1,135,,
VAREJO_05,2027-01-05,LOJA_03,PROD_07,limpeza,41.98,0,125,27.8,
VAREJO_05,2027-01-05,LOJA_03,PROD_08,limpeza,55.31,0,110,34.8,
VAREJO_05,2027-01-05,LOJA_03,PROD_09,utilidades,,0,128,30.2,
VAREJO_05,2027-01-05,LOJA_03,PROD_10,utilidades,30.54,0,157,28.0,
VAREJO_05,2027-01-05,LOJA_04,PROD_01,,11.92,,120,32.3,
VAREJO_05,2027-01-05,LOJA_04,PROD_02,alimentos,14.57,1,94,28.8,
VAREJO_05,2027-01-05,LOJA_04,PROD_03,bebidas,6.24,1,92,,
VAREJO_05,2027-01-05,LOJA_04,PROD_04,bebidas,9.93,1,149,27.8,
VAREJO_05,2027-01-05,LOJA_04,PROD_05,,24.54,1,131,30.3,
VAREJO_05,2027-01-05,LOJA_04,PROD_06,higiene,34.94,0,105,32.1,
VAREJO_05,2027-01-05,LOJA_04,PROD_07,limpeza,40.85,0,127,29.8,
VAREJO_05,2027-01-05,LOJA_04,PROD_08,limpeza,54.01,0,120,31.9,
VAREJO_05,2027-01-05,LOJA_04,PROD_09,utilidades,19.27,1,108,30.3,
VAREJO_05,2027-01-05,LOJA_04,PROD_10,,29.27,0,96,33.4,
VAREJO_05,2027-01-06,LOJA_01,PROD_01,alimentos,9.58,1,98,28.9,
VAREJO_05,2027-01-06,LOJA_01,PROD_02,alimentos,14.93,1,107,29.0,
VAREJO_05,2027-01-06,LOJA_01,PROD_03,bebidas,6.54,0,113,31.6,
VAREJO_05,2027-01-06,LOJA_01,PROD_04,bebidas,8.8,0,122,29.4,
VAREJO_05,2027-01-06,LOJA_01,PROD_05,higiene,27.35,0,178,31.2,
VAREJO_05,2027-01-06,LOJA_01,PROD_06,higiene,35.04,0,98,31.4,
VAREJO_05,2027-01-06,LOJA_01,PROD_07,limpeza,35.56,1,123,30.0,
VAREJO_05,2027-01-06,LOJA_01,PROD_08,limpeza,,0,146,27.3,
VAREJO_05,2027-01-06,LOJA_01,PROD_09,utilidades,22.75,0,149,30.4,
VAREJO_05,2027-01-06,LOJA_01,PROD_10,utilidades,27.13,1,152,28.4,
VAREJO_05,2027-01-06,LOJA_02,PROD_01,alimentos,11.64,0,168,28.2,
VAREJO_05,2027-01-06,LOJA_02,PROD_02,alimentos,14.93,1,176,31.1,
VAREJO_05,2027-01-06,LOJA_02,PROD_03,bebidas,6.39,0,,31.2,
VAREJO_05,2027-01-06,LOJA_02,PROD_04,bebidas,"10,43",0,169,27.5,
VAREJO_05,2027-01-06,LOJA_02,PROD_05,higiene,28.46,0,114,28.4,
VAREJO_05,2027-01-06,LOJA_02,PROD_06,higiene,,0,117,28.2,
VAREJO_05,2027-01-06,LOJA_02,PROD_07,limpeza,42.07,0,166,30.8,
VAREJO_05,2027-01-06,LOJA_02,PROD_08,limpeza,55.17,0,175,27.5,
VAREJO_05,2027-01-06,LOJA_02,PROD_09,utilidades,21.78,0,156,29.3,
VAREJO_05,2027-01-06,LOJA_02,PROD_10,utilidades,29.55,0,157,29.3,
VAREJO_05,2027-01-06,LOJA_03,PROD_01,alimentos,11.39,1,149,28.9,
VAREJO_05,2027-01-06,LOJA_03,PROD_02,alimentos,19.11,0,157,31.1,
VAREJO_05,2027-01-06,LOJA_03,PROD_03,bebidas,6.72,0,136,30.7,
VAREJO_05,2027-01-06,LOJA_03,PROD_04,bebidas,9.66,1,139,33.5,
VAREJO_05,2027-01-06,LOJA_03,PROD_05,higiene,25.21,1,171,28.2,
VAREJO_05,2027-01-06,LOJA_03,PROD_06,higiene,35.29,,148,30.1,
VAREJO_05,2027-01-06,LOJA_03,PROD_07,limpeza,41.45,0,173,33.1,
VAREJO_05,2027-01-06,LOJA_03,PROD_08,limpeza,54.04,0,174,28.3,
VAREJO_05,2027-01-06,LOJA_03,PROD_09,utilidades,22.94,0,134,28.8,
VAREJO_05,2027-01-06,LOJA_03,PROD_10,utilidades,25.56,1,95,31.3,
VAREJO_05,2027-01-06,LOJA_04,PROD_01,alimentos,11.98,0,135,26.4,
VAREJO_05,2027-01-06,LOJA_04,PROD_02,alimentos,17.69,0,96,31.3,
VAREJO_05,2027-01-06,LOJA_04,PROD_03,bebidas,6.88,0,145,29.8,
VAREJO_05,2027-01-06,LOJA_04,PROD_04,bebidas,11.58,0,141,29.2,
VAREJO_05,2027-01-06,LOJA_04,PROD_05,higiene,28.41,0,,28.0,
VAREJO_05,2027-01-06,LOJA_04,PROD_06,higiene,35.04,0,159,26.7,
VAREJO_05,2027-01-06,LOJA_04,PROD_07,limpeza,43.1,0,90,31.5,
VAREJO_05,2027-01-06,LOJA_04,PROD_08,limpeza,46.62,,136,32.5,
VAREJO_05,06/01/2027,LOJA_04,PROD_09,utilidades,22.34,0,160,30.1,
VAREJO_05,2027-01-06,LOJA_04,PROD_10,utilidades,30.41,0,92,29.8,
VAREJO_05,2027-01-07,LOJA_01,PROD_01,alimentos,12.58,0,159,27.5,
VAREJO_05,2027-01-07,LOJA_01,PROD_02,alimentos,18.69,0,167,27.2,
VAREJO_05,2027-01-07,LOJA_01,PROD_03,bebidas,6.46,0,123,27.9,
VAREJO_05,2027-01-07,LOJA_01,PROD_04,bebidas,10.49,0,144,,
VAREJO_05,2027-01-07,LOJA_01,PROD_05,higiene,29.08,nao,102,30.0,
VAREJO_05,2027-01-07,LOJA_01,PROD_06,higiene,34.61,0,,29.3,
VAREJO_05,2027-01-07,LOJA_01,PROD_07,limpeza,42.43,0,155,31.6,
VAREJO_05,2027-01-07,LOJA_01,PROD_08,limpeza,56.34,0,152,29.0,
VAREJO_05,2027-01-07,LOJA_01,PROD_09,utilidades,21.82,0,,30.5,
VAREJO_05,2027-01-07,LOJA_01,PROD_10,utilidades,25.78,1,125,32.4,
VAREJO_05,2027-01-07,LOJA_02,PROD_01,alimentos,11.34,0,97,29.4,
VAREJO_05,2027-01-07,LOJA_02,PROD_02,alimentos,17.44,0,113,33.2,
VAREJO_05,2027-01-07,LOJA_02,PROD_03,bebidas,,0,157,27.3,
VAREJO_05,2027-01-07,LOJA_02,PROD_04,bebidas,10.58,0,141,29.1,
VAREJO_05,2027-01-07,LOJA_02,PROD_05,,28.68,0,152,,
VAREJO_05,2027-01-07,LOJA_02,PROD_06,higiene,36.17,0,110,30.6,
VAREJO_05,2027-01-07,LOJA_02,PROD_07,limpeza,41.64,0,97,27.2,
VAREJO_05,2027-01-07,LOJA_02,PROD_08,limpeza,54.08,0,155,26.0,
VAREJO_05,2027-01-07,LOJA_02,PROD_09,utilidades,19.61,1,176,30.0,
VAREJO_05,2027-01-07,LOJA_02,PROD_10,utilidades,,0,171,29.9,
VAREJO_05,2027-01-07,LOJA_03,PROD_01,alimentos,11.23,0,123,32.6,
VAREJO_05,2027-01-07,LOJA_03,PROD_02,alimentos,16.45,1,126,31.4,
VAREJO_05,2027-01-07,LOJA_03,PROD_03,bebidas,6.23,1,143,27.2,
VAREJO_05,2027-01-07,LOJA_03,PROD_04,bebidas,9.37,1,155,29.7,
VAREJO_05,2027-01-07,LOJA_03,PROD_05,higiene,28.31,0,107,29.8,
VAREJO_05,2027-01-07,LOJA_03,PROD_06,higiene,34.09,,101,28.2,
VAREJO_05,2027-01-07,LOJA_03,PROD_07,limpeza,42.08,0,107,,
VAREJO_05,2027-01-07,LOJA_03,PROD_08,limpeza,55.13,0,99,28.1,
VAREJO_05,2027-01-07,LOJA_03,PROD_09,utilidades,23.66,0,155,27.6,
VAREJO_05,2027-01-07,LOJA_03,PROD_10,utilidades,29.59,0,114,30.4,
VAREJO_05,2027-01-07,LOJA_04,PROD_01,alimentos,9.86,1,160,30.6,
VAREJO_05,2027-01-07,LOJA_04,PROD_02,alimentos,,,95,28.5,
VAREJO_05,2027-01-07,LOJA_04,PROD_03,,,0,120,28.5,
VAREJO_05,2027-01-07,LOJA_04,PROD_04,bebidas,11.05,0,158,27.4,
VAREJO_05,2027-01-07,LOJA_04,PROD_05,higiene,27.9,0,171,29.0,
VAREJO_05,2027-01-07,LOJA_04,PROD_06,higiene,30.7,1,133,28.0,
VAREJO_05,2027-01-07,LOJA_04,PROD_07,limpeza,36.06,1,173,32.9,
VAREJO_05,2027-01-07,LOJA_04,PROD_08,limpeza,55.62,0,107,30.5,
VAREJO_05,2027-01-07,LOJA_04,PROD_09,utilidades,22.58,0,132,30.8,
VAREJO_05,2027-01-07,LOJA_04,PROD_10,utilidades,30.06,0,96,32.8,
VAREJO_05,2027-01-08,LOJA_01,PROD_01,alimentos,12.64,0,137,28.4,
VAREJO_05,2027-01-08,LOJA_01,PROD_02,alimentos,18.86,0,141,32.3,
VAREJO_05,2027-01-08,LOJA_01,PROD_03,bebidas,6.53,0,161,32.7,
VAREJO_05,2027-01-08,LOJA_01,PROD_04,bebidas,11.5,0,149,30.3,
VAREJO_05,2027-01-08,LOJA_01,PROD_05,higiene,26.99,0,91,30.6,
VAREJO_05,2027-01-08,LOJA_01,PROD_06,,35.67,0,94,28.7,
VAREJO_05,2027-01-08,LOJA_01,PROD_07,limpeza,41.63,0,153,30.5,
VAREJO_05,2027-01-08,LOJA_01,PROD_08,limpeza,55.69,0,158,29.5,
VAREJO_05,2027-01-08,LOJA_01,PROD_09,utilidades,23.24,0,90,32.3,
VAREJO_05,2027-01-08,LOJA_01,PROD_10,utilidades,25.97,1,177,29.2,
VAREJO_05,2027-01-08,LOJA_02,PROD_01,alimentos,10.14,1,118,29.2,
VAREJO_05,2027-01-08,LOJA_02,PROD_02,alimentos,16.74,0,127,29.5,
VAREJO_05,2027-01-08,LOJA_02,PROD_03,bebidas,6.6,0,122,27.5,
VAREJO_05,2027-01-08,LOJA_02,PROD_04,bebidas,11.73,0,156,28.9,
VAREJO_05,2027-01-08,LOJA_02,PROD_05,higiene,27.82,0,158,28.4,
VAREJO_05,2027-01-08,LOJA_02,PROD_06,higiene,34.11,0,133,33.0,
VAREJO_05,2027-01-08,LOJA_02,PROD_07,limpeza,41.35,0,139,31.5,
VAREJO_05,08/01/2027,LOJA_02,PROD_08,limpeza,54.45,,171,31.5,
VAREJO_05,2027-01-08,LOJA_02,PROD_09,utilidades,22.73,0,107,33.5,
VAREJO_05,2027-01-08,LOJA_02,PROD_10,utilidades,30.02,0,106,28.0,
VAREJO_05,2027-01-08,LOJA_03,PROD_01,alimentos,11.36,0,92,28.6,
VAREJO_05,2027-01-08,LOJA_03,PROD_02,alimentos,14.71,1,98,31.8,
VAREJO_05,2027-01-08,LOJA_03,PROD_03,bebidas,7.78,0,163,,
VAREJO_05,2027-01-08,LOJA_03,PROD_04,bebidas,,0,141,32.5,
VAREJO_05,2027-01-08,LOJA_03,PROD_05,,28.37,0,134,32.8,
VAREJO_05,2027-01-08,LOJA_03,PROD_06,,34.81,0,106,26.3,
VAREJO_05,2027-01-08,LOJA_03,PROD_07,limpeza,43.43,0,152,,
